Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta,dia,mes,año,fecha,dia de semana,Inflación PERU,Precio Cobre,Precio Oro,Precio Zinc,PIB,Reservas internacionales,Intervenciones del BCRP,Inflación EEUU,Eventos políticos,Tasa Referencial EEUU,Expectativas del mercado,Volatilidad global
2.989,1,1,2015,01/01/2015,4,1,1,1,1,0,1,1,1,0,1,1,1
2.989,2,1,2015,02/01/2015,5,1,1,1,1,0,1,0,1,1,1,1,1
2.992,5,1,2015,05/01/2015,1,1,1,0,1,0,0,0,0,1,1,1,0
2.983,6,1,2015,06/01/2015,2,1,1,1,0,1,0,1,0,0,0,0,0
2.987,7,1,2015,07/01/2015,3,1,0,1,0,0,0,1,0,0,1,1,0
2.989,8,1,2015,08/01/2015,4,1,0,1,1,0,0,0,0,1,0,1,0
2.986,9,1,2015,09/01/2015,5,0,1,0,1,0,0,1,1,0,1,0,0
2.989,12,1,2015,12/01/2015,1,1,1,0,0,0,1,0,1,1,0,0,1
2.985,13,1,2015,13/01/2015,2,0,0,1,0,0,1,1,1,0,1,0,1
2.994,14,1,2015,14/01/2015,3,0,0,0,0,0,1,1,0,1,0,1,1
2.997,15,1,2015,15/01/2015,4,0,1,0,1,1,1,0,1,1,0,0,1
3.013,16,1,2015,16/01/2015,5,1,1,1,1,1,1,0,0,1,1,1,0
3.012,19,1,2015,19/01/2015,1,1,1,1,0,0,1,1,1,1,1,1,1
3.009,20,1,2015,20/01/2015,2,1,1,0,0,0,0,0,0,0,1,1,1
3.011,21,1,2015,21/01/2015,3,0,1,1,0,1,0,1,1,1,0,1,0
3.004,22,1,2015,22/01/2015,4,1,1,1,0,1,1,0,1,1,1,1,1
3.012,23,1,2015,23/01/2015,5,0,1,0,1,0,0,1,0,0,0,0,0
3.02,26,1,2015,26/01/2015,1,1,0,1,1,0,0,0,1,0,1,1,1
3.024,27,1,2015,27/01/2015,2,1,0,1,1,0,1,0,0,1,1,1,0
3.029,28,1,2015,28/01/2015,3,0,1,0,1,1,1,1,1,0,0,1,0
3.045,29,1,2015,29/01/2015,4,1,1,1,1,0,0,1,1,0,0,1,1
3.058,30,1,2015,30/01/2015,5,0,1,1,0,1,0,1,0,1,0,0,1
3.06,2,2,2015,02/02/2015,1,1,0,1,1,1,0,1,0,1,0,1,0
3.059,3,2,2015,03/02/2015,2,0,0,1,0,1,1,1,0,1,0,1,1
3.062,4,2,2015,04/02/2015,3,1,1,1,0,1,1,0,0,1,0,0,0
3.063,5,2,2015,05/02/2015,4,1,0,1,0,0,1,1,1,1,1,1,1
3.068,6,2,2015,06/02/2015,5,1,0,0,1,1,1,0,0,1,0,0,0
3.065,9,2,2015,09/02/2015,1,1,1,0,0,0,0,0,0,0,0,1,0
3.076,10,2,2015,10/02/2015,2,1,0,0,1,1,1,1,0,0,0,0,1
3.094,11,2,2015,11/02/2015,3,0,0,0,1,0,0,0,1,0,0,0,1
3.082,12,2,2015,12/02/2015,4,0,0,1,0,1,0,1,1,0,1,0,1
3.075,13,2,2015,13/02/2015,5,1,0,1,1,1,0,1,1,1,0,1,0
3.085,16,2,2015,16/02/2015,1,0,0,1,1,0,0,1,0,1,1,1,0
3.083,17,2,2015,17/02/2015,2,0,1,0,1,0,0,0,1,1,1,0,1
3.086,18,2,2015,18/02/2015,3,1,0,0,1,0,0,0,1,1,1,0,0
3.087,19,2,2015,19/02/2015,4,0,0,0,0,0,1,0,0,1,0,0,1
3.089,20,2,2015,20/02/2015,5,0,1,1,0,1,1,1,1,1,0,1,0
3.09,23,2,2015,23/02/2015,1,0,0,1,1,1,0,1,0,0,0,0,0
3.095,24,2,2015,24/02/2015,2,1,1,0,1,1,0,1,0,1,1,1,1
3.095,25,2,2015,25/02/2015,3,0,0,1,1,0,0,1,0,0,0,0,1
3.094,26,2,2015,26/02/2015,4,1,1,1,0,0,0,0,1,1,1,0,0
3.095,27,2,2015,27/02/2015,5,1,0,1,0,1,1,0,0,0,1,0,1
3.097,2,3,2015,02/03/2015,1,0,0,0,1,1,0,1,0,1,1,0,1
3.093,3,3,2015,03/03/2015,2,1,0,1,0,1,1,1,0,0,0,1,0
3.094,4,3,2015,04/03/2015,3,0,0,1,0,1,1,1,1,1,0,1,0
3.098,5,3,2015,05/03/2015,4,1,1,1,0,1,1,0,1,1,1,0,0
3.101,6,3,2015,06/03/2015,5,0,0,1,0,1,0,1,1,1,0,0,0
3.1,9,3,2015,09/03/2015,1,1,1,0,1,0,0,0,1,0,0,1,0
3.1,10,3,2015,10/03/2015,2,1,0,0,1,1,0,1,1,0,1,1,0
3.101,11,3,2015,11/03/2015,3,0,0,1,1,1,0,1,0,0,1,0,0
3.099,12,3,2015,12/03/2015,4,1,0,1,1,1,1,1,0,0,0,1,1
3.099,13,3,2015,13/03/2015,5,0,0,0,1,0,0,0,0,1,0,0,1
